bite_date,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,main_color,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc
4/11/1994 00:00,DOG,,MALE,BLACK,BLK,,,,NO,BODY,4/13/1994 00:00,RELEASED,,,UNKNOWN
5/8/1994 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,5/9/1994 00:00,RELEASED,,,UNKNOWN
5/10/1994 00:00,DOG,,FEMALE,MULTICOLOR,MULT COLOR,,,,NO,HEAD,5/13/1994 00:00,RELEASED,,,UNKNOWN
5/22/1994 00:00,DOG,,MALE,TRICOLOR,TRI,,,,NO,BODY,5/24/1994 00:00,RELEASED,,,UNKNOWN
6/10/1994 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,6/15/1994 00:00,RELEASED,,,UNKNOWN
7/21/1994 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,7/21/1994 00:00,RELEASED,,,UNKNOWN
10/29/2009 00:00,CAT,,FEMALE,GRAY,GRAY,,,40206,NO,BODY,10/30/2009 00:00,UNKNOWN,,,UNKNOWN
12/2/2009 00:00,DOG,,MALE,TAN,TAN-BRN,1,1/16/2010 00:00,40291,NO,BODY,12/3/2009 00:00,RELEASED,,,UNKNOWN
12/11/2009 00:00,DOG,,MALE,BLACK,BLK-BRN,,,40272,NO,BODY,12/11/2009 00:00,RELEASED,,,UNKNOWN
12/21/2009 00:00,DOG,,UNKNOWN,BLACK,BLACK,,,40218,NO,HEAD,12/29/2009 00:00,UNKNOWN,,,UNKNOWN
12/24/2009 00:00,DOG,,MALE,BROWN,BRN-WHT,1,4/30/2009 00:00,40165,NO,HEAD,12/28/2009 00:00,RELEASED,,,UNKNOWN
12/24/2009 00:00,DOG,,UNKNOWN,BLACK,BLACK,,,40229,NO,BODY,12/29/2009 00:00,UNKNOWN,,,UNKNOWN
12/28/2009 00:00,DOG,,UNKNOWN,BLACK,BLACK,,,40299,NO,HEAD,12/29/2009 00:00,UNKNOWN,,,UNKNOWN
12/29/2009 00:00,DOG,,FEMALE,WHITE,WHT-BRN,3,6/7/2008 00:00,40291,NO,BODY,12/30/2009 00:00,RELEASED,,,UNKNOWN
12/30/2009 00:00,DOG,,FEMALE,WHITE,WHITE,3,1/6/2010 00:00,40229,NO,BODY,12/31/2009 00:00,RELEASED,,,UNKNOWN
12/30/2009 00:00,DOG,,MALE,BLACK,BLK-WHT,,,40218,NO,BODY,1/6/2010 00:00,RELEASED,,,UNKNOWN
12/30/2009 00:00,DOG,,FEMALE,BLACK,BLK-WHT,1,12/26/2009 00:00,40220,NO,BODY,1/6/2010 00:00,UNKNOWN,,,UNKNOWN
12/31/2009 00:00,DOG,,MALE,WHITE,WHT-GRAY,3,8/28/2008 00:00,40220,NO,BODY,1/4/2010 00:00,RELEASED,,,UNKNOWN
12/31/2009 00:00,CAT,,MALE,WHITE,WHITE,1,1/14/2010 00:00,40220,NO,BODY,1/4/2010 00:00,RELEASED,,,UNKNOWN
12/31/2009 00:00,DOG,,MALE,BROWN,BRN,1,7/23/2009 00:00,40241,NO,BODY,1/4/2010 00:00,RELEASED,,,UNKNOWN
1/1/2010 00:00,DOG,,FEMALE,WHITE,WHT,1,10/22/2009 00:00,40228,NO,BODY,1/4/2010 00:00,RELEASED,,,UNKNOWN
1/2/2010 00:00,DOG,,MALE,BLACK,BLK-BRN,3,2/7/2008 00:00,40291,NO,HEAD,1/4/2010 00:00,RELEASED,,,UNKNOWN
1/2/2010 00:00,DOG,,UNKNOWN,,,,,40219,YES,BODY,1/4/2010 00:00,UNKNOWN,,,UNKNOWN
1/2/2010 00:00,CAT,,FEMALE,,,,,40291,NO,BODY,1/4/2010 00:00,RELEASED,,,UNKNOWN
1/2/2010 00:00,DOG,,UNKNOWN,BLACK,BLK,,,40216,NO,BODY,1/4/2010 00:00,UNKNOWN,,,UNKNOWN
1/2/2010 00:00,DOG,,FEMALE,BROWN,BRN-WHT,1,1/27/2010 00:00,40071,NO,HEAD,1/6/2010 00:00,RELEASED,,,UNKNOWN
1/3/2010 00:00,CAT,,UNKNOWN,BLACK,BLK-WHT,,,40216,YES,BODY,1/20/2010 00:00,UNKNOWN,,,UNKNOWN
1/4/2010 00:00,DOG,,FEMALE,BLACK,BLK,1,1/15/2010 00:00,40291,NO,BODY,1/6/2010 00:00,RELEASED,,,UNKNOWN
1/4/2010 00:00,DOG,,MALE,TAN,TAN,1,9/1/2009 00:00,40031,NO,HEAD,1/15/2010 00:00,RELEASED,,,UNKNOWN
1/5/2010 00:00,DOG,,MALE,BLACK,BLK-TAN,1,2/2/2009 00:00,40241,NO,BODY,1/6/2010 00:00,UNKNOWN,,,UNKNOWN
1/5/2010 00:00,DOG,,FEMALE,BROWN,BRN,1,3/31/2009 00:00,40291,NO,BODY,1/6/2010 00:00,RELEASED,,,UNKNOWN
1/6/2010 00:00,DOG,,UNKNOWN,BLUE,BLUE,1,5/20/2009 00:00,40217,NO,BODY,1/11/2010 00:00,RELEASED,,,UNKNOWN
1/7/2010 00:00,DOG,,FEMALE,TAN,TAN,3,2/1/2010 00:00,40217,NO,HEAD,1/8/2010 00:00,RELEASED,,,UNKNOWN
1/7/2010 00:00,DOG,,MALE,BLACK,BLK,3,2/5/2010 00:00,40219,NO,BODY,1/8/2010 00:00,RELEASED,,,UNKNOWN
1/7/2010 00:00,DOG,,MALE,BROWN,COPPER-WHT,1,3/10/2009 00:00,40222,NO,BODY,1/8/2010 00:00,RELEASED,,,UNKNOWN
1/8/2010 00:00,DOG,,MALE,BLACK,BLK-WHT,,,40214,NO,HEAD,1/13/2010 00:00,RELEASED,,,UNKNOWN
1/8/2010 00:00,DOG,,FEMALE,WHITE,WHT-BUFF,1,1/6/2010 00:00,40291,NO,BODY,1/11/2010 00:00,RELEASED,,,UNKNOWN
1/9/2010 00:00,DOG,,UNKNOWN,BLACK,BLK-WHT,,,40219,NO,BODY,,UNKNOWN,1/10/2010 00:00,,UNKNOWN
1/9/2010 00:00,CAT,,UNKNOWN,,,,,40272,YES,BODY,1/11/2010 00:00,UNKNOWN,,,UNKNOWN
1/9/2010 00:00,CAT,,UNKNOWN,BLACK,BLK,,,40272,NO,BODY,1/9/2010 00:00,UNKNOWN,,,UNKNOWN
1/10/2010 00:00,DOG,,UNKNOWN,WHITE,WHT,,,40229,YES,HEAD,1/11/2010 00:00,UNKNOWN,,,UNKNOWN
1/11/2010 00:00,DOG,,MALE,BROWN,BRN,1,2/2/2010 00:00,40272,NO,BODY,1/11/2010 00:00,RELEASED,,,UNKNOWN
1/11/2010 00:00,DOG,,MALE,BLACK,BLK-WHT,3,,40272,NO,HEAD,1/12/2010 00:00,RELEASED,,,UNKNOWN
1/11/2010 00:00,DOG,,FEMALE,BRINDLE,BRINDLE,3,3/16/2007 00:00,40272,NO,HEAD,1/12/2010 00:00,RELEASED,,,UNKNOWN
1/12/2010 00:00,DOG,,MALE,BROWN,BRN-WHT,,,40214,NO,BODY,,UNKNOWN,1/14/2010 00:00,,UNKNOWN
1/12/2010 00:00,DOG,,MALE,TRICOLOR,TRI,,,40204,YES,BODY,1/13/2010 00:00,UNKNOWN,,,UNKNOWN
1/12/2010 00:00,DOG,,MALE,BLACK,BLK,1,10/19/2009 00:00,40219,NO,BODY,1/13/2010 00:00,RELEASED,,,UNKNOWN
1/12/2010 00:00,CAT,,UNKNOWN,BLACK,BLK-WHT,,,40208,NO,BODY,1/12/2010 00:00,UNKNOWN,,,UNKNOWN
1/14/2010 00:00,DOG,,UNKNOWN,TAN,TAN,,,40206,YES,BODY,1/15/2010 00:00,UNKNOWN,,,UNKNOWN
1/14/2010 00:00,DOG,,MALE,YELLOW,YELLOW,1,1/1/2010 00:00,40299,NO,BODY,1/20/2010 00:00,RELEASED,,,UNKNOWN
1/15/2010 00:00,DOG,,MALE,BLACK,BLACK/BROW,1,2/2/2010 00:00,40272,NO,HEAD,1/19/2010 00:00,RELEASED,,,UNKNOWN
1/16/2010 00:00,CAT,,FEMALE,BLACK,BLK-WHT,1,2/2/2010 00:00,40222,NO,BODY,1/19/2010 00:00,RELEASED,,,UNKNOWN
1/16/2010 00:00,DOG,,MALE,TRICOLOR,TRI,3,5/2/2009 00:00,40219,NO,BODY,1/21/2010 00:00,UNKNOWN,,,UNKNOWN
1/16/2010 00:00,DOG,,MALE,BLUE,BLUE,1,1/29/2010 00:00,40205,NO,BODY,1/20/2010 00:00,RELEASED,,,UNKNOWN
1/17/2010 00:00,CAT,,MALE,BROWN,BROWN,1,12/22/2009 00:00,40206,NO,BODY,1/19/2010 00:00,RELEASED,,,UNKNOWN
1/19/2010 00:00,DOG,,MALE,BLACK,BLK,3,5/1/2009 00:00,40207,NO,BODY,1/20/2010 00:00,RELEASED,,,UNKNOWN
1/20/2010 00:00,DOG,,MALE,BLACK,BLK,1,12/11/2009 00:00,40223,NO,BODY,1/28/2010 00:00,RELEASED,,,UNKNOWN
1/21/2010 00:00,DOG,,FEMALE,BROWN,BRN,1,7/13/2009 00:00,40223,NO,HEAD,1/25/2010 00:00,RELEASED,,,UNKNOWN
1/22/2010 00:00,CAT,,MALE,BLACK,BLK-WHT,,,40258,YES,BODY,1/25/2010 00:00,UNKNOWN,,,UNKNOWN
1/23/2010 00:00,DOG,,UNKNOWN,YELLOW,YELLOW,,,40208,YES,BODY,1/25/2010 00:00,UNKNOWN,,,UNKNOWN
1/24/2010 00:00,DOG,,MALE,RED,RED,3,2/11/2008 00:00,40245,NO,HEAD,1/26/2010 00:00,RELEASED,,,UNKNOWN
1/25/2010 00:00,CAT,,FEMALE,GRAY,GRAY-TORTI,,,40208,NO,HEAD,1/28/2010 00:00,UNKNOWN,,,UNKNOWN
1/25/2010 00:00,DOG,,FEMALE,FAWN,FAWN-WHT,1,2/8/2010 00:00,42784,NO,BODY,1/25/2010 00:00,RELEASED,,,UNKNOWN
1/25/2010 00:00,DOG,,FEMALE,BROWN,BRN-WHT,,,40165,NO,BODY,1/28/2010 00:00,RELEASED,,,UNKNOWN
1/26/2010 00:00,DOG,,MALE,BROWN,BROWN-BLK,,,40206,NO,BODY,1/27/2010 00:00,RELEASED,,,UNKNOWN
1/27/2010 00:00,DOG,,MALE,BLACK,BLACK,1,3/1/2010 00:00,40299,NO,BODY,1/28/2010 00:00,RELEASED,,,UNKNOWN
1/27/2010 00:00,CAT,,UNKNOWN,,,,,40220,YES,BODY,1/28/2010 00:00,UNKNOWN,,,UNKNOWN
1/27/2010 00:00,DOG,,UNKNOWN,,,,,40291,YES,BODY,1/28/2010 00:00,UNKNOWN,,,UNKNOWN
1/27/2010 00:00,DOG,,UNKNOWN,YELLOW,YELLOW,1,9/18/2009 00:00,40272,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/27/2010 00:00,DOG,,FEMALE,BROWN,BRN-BLACK,1,7/30/2010 00:00,40229,NO,BODY,1/28/2011 00:00,UNKNOWN,,,UNKNOWN
1/28/2010 00:00,DOG,,FEMALE,TAN,TAN,1,10/5/2009 00:00,40218,NO,HEAD,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/28/2010 00:00,DOG,,FEMALE,BLACK,BLK-TAN,1,7/16/2009 00:00,40204,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/29/2010 00:00,DOG,,MALE,BLACK,BLK-WHT,,,40210,NO,HEAD,2/2/2010 00:00,RELEASED,,,UNKNOWN
1/29/2010 00:00,DOG,,FEMALE,TAN,TAN,1,3/17/2009 00:00,40291,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/30/2010 00:00,DOG,,UNKNOWN,,,,,40118,NO,HEAD,2/1/2010 00:00,UNKNOWN,,,UNKNOWN
1/30/2010 00:00,CAT,,FEMALE,BLACK,BLK,1,2/19/2010 00:00,46011,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/30/2010 00:00,DOG,,MALE,RED,RED-WHT,1,3/18/2009 00:00,40218,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/30/2010 00:00,DOG,,MALE,BLACK,BLK-TAN,,,40229,NO,BODY,1/30/2010 00:00,UNKNOWN,,,UNKNOWN
1/31/2010 00:00,CAT,,MALE,TAN,TAN-BRN,1,2/19/2010 00:00,40299,NO,HEAD,2/1/2010 00:00,RELEASED,,,UNKNOWN
1/31/2010 00:00,DOG,,MALE,GRAY,B.MERLE-GR,,,40212,YES,HEAD,2/1/2010 00:00,UNKNOWN,,,UNKNOWN
1/31/2010 00:00,DOG,,MALE,BLACK,BLK-WHT,1,2/14/2009 00:00,40220,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
2/1/2010 00:00,DOG,,MALE,BROWN,BROWN,1,8/12/2009 00:00,40215,NO,BODY,2/1/2010 00:00,RELEASED,,,UNKNOWN
2/1/2010 00:00,CAT,,MALE,GRAY,GRAY-WHT,,,40291,NO,BODY,2/1/2010 00:00,UNKNOWN,,,UNKNOWN
2/1/2010 00:00,DOG,,MALE,TAN,TAN-WHT,,,40211,NO,BODY,2/1/2010 00:00,UNKNOWN,,,UNKNOWN
2/2/2010 00:00,DOG,,MALE,BLONDE,BLONDE,1,1/23/2010 00:00,40059,NO,HEAD,2/4/2010 00:00,RELEASED,,,UNKNOWN
2/2/2010 00:00,CAT,,UNKNOWN,GRAY,GRAY-WHITE,,,40203,NO,BODY,2/2/2010 00:00,UNKNOWN,,,UNKNOWN
2/3/2010 00:00,DOG,,MALE,BROWN,BROWN-BLK,1,5/12/2009 00:00,40205,NO,BODY,2/3/2010 00:00,RELEASED,,,UNKNOWN
2/4/2010 00:00,DOG,,UNKNOWN,,,,,40229,NO,BODY,,UNKNOWN,2/5/2010 00:00,,UNKNOWN
2/4/2010 00:00,DOG,,UNKNOWN,BROWN,BRN-WHT,,6/1/2007 00:00,40228,NO,BODY,2/4/2010 00:00,UNKNOWN,,,UNKNOWN
2/5/2010 00:00,DOG,,MALE,WHITE,WHT,,,40217,NO,BODY,2/5/2010 00:00,RELEASED,,,UNKNOWN
2/5/2010 00:00,DOG,,MALE,BROWN,BROWN,,,40229,NO,HEAD,2/8/2010 00:00,UNKNOWN,,,UNKNOWN
2/5/2010 00:00,DOG,,UNKNOWN,,,,,40220,YES,BODY,2/8/2010 00:00,UNKNOWN,,,UNKNOWN
2/6/2010 00:00,DOG,,MALE,BLACK,BLK-BRN,,,40272,NO,BODY,2/6/2010 00:00,UNKNOWN,,,UNKNOWN
2/7/2010 00:00,DOG,,FEMALE,WHITE,WHT-BRN,3,8/15/2009 00:00,40215,NO,HEAD,2/10/2010 00:00,RELEASED,,,UNKNOWN
2/7/2010 00:00,DOG,,MALE,TRICOLOR,TRI,3,2/16/2009 00:00,40228,NO,BODY,2/8/2010 00:00,RELEASED,,,UNKNOWN
2/9/2010 00:00,CAT,,UNKNOWN,BLACK,BLK-WHT,,,40203,NO,BODY,2/9/2010 00:00,UNKNOWN,,,UNKNOWN
2/9/2010 00:00,CAT,,UNKNOWN,GRAY,GREY,1,8/20/2009 00:00,40218,NO,BODY,2/16/2010 00:00,RELEASED,,,UNKNOWN
2/10/2010 00:00,DOG,,UNKNOWN,,,,,40218,YES,BODY,2/10/2010 00:00,UNKNOWN,,,UNKNOWN
2/10/2010 00:00,DOG,,MALE,GRAY,GRAY,1,1/26/2010 00:00,40214,NO,BODY,2/11/2010 00:00,RELEASED,,,UNKNOWN
2/10/2010 00:00,DOG,,FEMALE,BLACK,BLK,1,1/18/2010 00:00,40204,NO,BODY,2/11/2010 00:00,RELEASED,,,UNKNOWN
2/10/2010 00:00,DOG,,MALE,BLACK,BLK-WHT,1,8/22/2009 00:00,40014,NO,BODY,2/19/2010 00:00,RELEASED,,,UNKNOWN
2/10/2010 00:00,CAT,,FEMALE,BLACK,BLK-WHT,1,6/9/2009 00:00,40207,NO,BODY,2/22/2010 00:00,RELEASED,,,UNKNOWN
2/11/2010 00:00,DOG,,FEMALE,SILVER,SILVER,1,3/3/2010 00:00,40217,NO,BODY,2/11/2010 00:00,RELEASED,,,UNKNOWN
2/11/2010 00:00,DOG,,UNKNOWN,,,,,40229,YES,HEAD,2/12/2010 00:00,UNKNOWN,,,UNKNOWN
2/11/2010 00:00,DOG,,UNKNOWN,,,,,40206,YES,BODY,2/12/2010 00:00,UNKNOWN,,,UNKNOWN
2/12/2010 00:00,DOG,,MALE,BROWN,BRN-WHT,1,3/2/2010 00:00,40218,NO,BODY,2/16/2010 00:00,RELEASED,,,UNKNOWN
2/12/2010 00:00,CAT,,UNKNOWN,GRAY,GREY,,,40208,NO,BODY,2/12/2010 00:00,UNKNOWN,,,UNKNOWN
2/12/2010 00:00,DOG,,MALE,BLACK,BLK,1,2/22/2010 00:00,40229,NO,BODY,2/17/2010 00:00,RELEASED,,,UNKNOWN
2/13/2010 00:00,CAT,,UNKNOWN,GRAY,GREY,1,2/11/2010 00:00,40242,NO,BODY,2/16/2010 00:00,RELEASED,,,UNKNOWN
2/14/2010 00:00,DOG,,UNKNOWN,BROWN,BRN,1,10/7/2009 00:00,40207,NO,BODY,2/22/2010 00:00,RELEASED,,,UNKNOWN
2/15/2010 00:00,DOG,,UNKNOWN,BLACK,BLK,,,40216,NO,HEAD,2/18/2010 00:00,RELEASED,,,UNKNOWN
2/16/2010 00:00,DOG,,UNKNOWN,BROWN,BRN,,,40272,NO,BODY,,UNKNOWN,2/18/2010 00:00,,UNKNOWN
2/16/2010 00:00,CAT,,FEMALE,BLACK,BLK,,,40217,NO,BODY,2/16/2010 00:00,UNKNOWN,,,UNKNOWN
2/16/2010 00:00,DOG,,FEMALE,GRAY,GRAY,1,5/31/2009 00:00,40245,NO,BODY,2/24/2010 00:00,RELEASED,,,UNKNOWN
2/18/2010 00:00,DOG,,UNKNOWN,,,,,40217,YES,BODY,2/18/2010 00:00,UNKNOWN,,,UNKNOWN
2/18/2010 00:00,CAT,,MALE,ORANGE,ORANGE,1,3/1/2010 00:00,40229,NO,BODY,2/19/2010 00:00,RELEASED,,,UNKNOWN
2/18/2010 00:00,DOG,,MALE,TRICOLOR,TRI,1,9/26/2009 00:00,40299,NO,BODY,2/19/2010 00:00,RELEASED,,,UNKNOWN
2/18/2010 00:00,DOG,,MALE,BLACK,BLACK-TAN,1,7/2/2009 00:00,40241,NO,BODY,2/19/2010 00:00,RELEASED,,,UNKNOWN
2/19/2010 00:00,DOG,,MALE,WHITE,WHT,1,11/13/2009 00:00,40291,NO,BODY,2/19/2010 00:00,RELEASED,,,UNKNOWN
2/20/2010 00:00,CAT,,FEMALE,WHITE,WHT-BLK,1,8/6/2009 00:00,40241,NO,BODY,2/22/2010 00:00,RELEASED,,,UNKNOWN
2/20/2010 00:00,DOG,,UNKNOWN,BRINDLE,BRINDLE-WH,,1/2/2010 00:00,40210,NO,BODY,2/20/2010 00:00,UNKNOWN,,,UNKNOWN
2/20/2010 00:00,DOG,,UNKNOWN,RED,RED-WHT,1,7/29/2009 00:00,40206,NO,BODY,2/22/2010 00:00,RELEASED,,,UNKNOWN
2/21/2010 00:00,CAT,,FEMALE,WHITE,WHT-BLK,,,40219,NO,HEAD,2/21/2010 00:00,UNKNOWN,,,UNKNOWN
2/21/2010 00:00,DOG,,FEMALE,WHITE,WHT-TAN,3,12/4/2009 00:00,,NO,BODY,2/22/2010 00:00,RELEASED,,,UNKNOWN
2/21/2010 00:00,DOG,,FEMALE,BLACK,BLK-TAN,3,12/15/2008 00:00,47150,NO,BODY,2/22/2010 00:00,RELEASED,,,UNKNOWN
2/21/2010 00:00,CAT,,UNKNOWN,BROWN,BRN-WHT,,,40299,NO,BODY,2/21/2010 00:00,UNKNOWN,,,UNKNOWN
2/22/2010 00:00,DOG,,UNKNOWN,,,,,40272,YES,BODY,2/23/2010 00:00,UNKNOWN,,,UNKNOWN
2/22/2010 00:00,DOG,,FEMALE,BROWN,BRN-WHT,3,8/5/2009 00:00,40214,NO,BODY,2/24/2010 00:00,RELEASED,,,UNKNOWN
2/22/2010 00:00,DOG,,UNKNOWN,TAN,TAN-WHT,,10/26/2009 00:00,40216,NO,HEAD,2/22/2010 00:00,UNKNOWN,,,UNKNOWN
2/23/2010 00:00,DOG,,UNKNOWN,,,,,40216,NO,HEAD,2/24/2010 00:00,RELEASED,,,UNKNOWN
2/23/2010 00:00,DOG,,UNKNOWN,,,,,40220,YES,HEAD,2/24/2010 00:00,UNKNOWN,,,UNKNOWN
2/23/2010 00:00,CAT,,MALE,BROWN,LT. BR,1,5/5/2009 00:00,40047,NO,BODY,2/26/2010 00:00,RELEASED,,,UNKNOWN
2/25/2010 00:00,DOG,,FEMALE,BLACK,BLK,1,2/24/2010 00:00,40241,NO,BODY,3/1/2010 00:00,RELEASED,,,UNKNOWN
2/25/2010 00:00,DOG,,FEMALE,TRICOLOR,TRI,1,3/24/2010 00:00,40258,NO,BODY,3/1/2010 00:00,RELEASED,,,UNKNOWN
2/25/2010 00:00,DOG,,MALE,BROWN,BRN,,,40216,NO,HEAD,2/25/2010 00:00,UNKNOWN,,,UNKNOWN
2/26/2010 00:00,DOG,,MALE,WHITE,WHT-BLK,,,40059,NO,HEAD,,UNKNOWN,2/27/2010 00:00,,UNKNOWN
2/26/2010 00:00,DOG,,UNKNOWN,,,,,40059,NO,HEAD,,UNKNOWN,2/27/2010 00:00,,UNKNOWN
2/26/2010 00:00,DOG,,FEMALE,BLACK,BLACK,1,3/9/2010 00:00,40059,NO,BODY,2/26/2010 00:00,RELEASED,,,UNKNOWN
2/26/2010 00:00,DOG,,MALE,RED,RED,1,3/12/2010 00:00,40206,NO,BODY,3/1/2010 00:00,RELEASED,,,UNKNOWN
2/26/2010 00:00,DOG,,MALE,BLACK,BLK-BRN,,,40118,NO,BODY,3/1/2010 00:00,RELEASED,,,UNKNOWN
2/27/2010 00:00,DOG,,MALE,BLACK,BLK-WHT,1,6/8/2009 00:00,40222,NO,BODY,3/1/2010 00:00,RELEASED,,,UNKNOWN
2/27/2010 00:00,CAT,,UNKNOWN,GRAY,GRAY,,,40215,NO,BODY,2/27/2010 00:00,UNKNOWN,,,UNKNOWN
2/27/2010 00:00,DOG,,UNKNOWN,BLONDE,BLONDE,,,40210,YES,BODY,3/4/2010 00:00,UNKNOWN,,,UNKNOWN
2/28/2010 00:00,CAT,,FEMALE,GRAY,GRAY,1,3/21/2009 00:00,40222,NO,BODY,3/1/2010 00:00,RELEASED,,,UNKNOWN
2/28/2010 00:00,DOG,,UNKNOWN,,,,,40272,NO,HEAD,3/1/2010 00:00,UNKNOWN,,,UNKNOWN
2/28/2010 00:00,CAT,,UNKNOWN,,,,,40211,YES,BODY,3/1/2010 00:00,UNKNOWN,,,UNKNOWN
